hemisphere,nday,min,q1,mean,median,q3,max
south,207,14.448,16.428,16.750829268292684,16.82,17.042,17.883
south,208,14.55,16.48375,16.77735,16.8595,17.05,17.963
south,209,14.678,16.632,16.867536585365855,16.951,17.111,17.996
south,210,14.707,16.67125,16.902525,16.998,17.1515,18.086
south,211,14.732,16.79,16.985829268292683,17.055,17.206,18.16
south,212,14.798,16.80075,17.0032,16.987000000000002,17.28725,18.272
south,213,14.824,16.944,17.08768292682927,17.099,17.345,18.263
south,214,14.84,16.841749999999998,17.1019,17.1,17.432249999999996,18.415
south,215,14.903,17.019,17.197073170731706,17.24,17.478,18.637
south,216,14.918,16.9385,17.2049,17.2485,17.4745,18.625
south,217,14.937,17.017,17.290926829268294,17.329,17.519,18.578
south,218,14.985,17.101750000000003,17.314675,17.378,17.5775,18.64
south,219,14.99,17.226,17.418048780487805,17.481,17.666,18.739
south,220,14.975,17.2465,17.433175,17.4825,17.70975,18.769
south,221,15.019,17.336,17.51639024390244,17.554,17.759,18.801
south,222,15.012,17.3295,17.510125,17.578,17.77825,18.819
south,223,15.078,17.406,17.591634146341462,17.591,17.836,18.86
south,224,15.099,17.39725,17.6149,17.631,17.88825,18.909
south,225,15.132,17.487,17.686048780487805,17.67,17.926,19.046
south,226,15.253,17.49325,17.71145,17.739,17.9465,19.097
south,227,15.551,17.57,17.780365853658537,17.815,17.973,19.014
south,228,15.645,17.58175,17.797525,17.844,18.03675,18.987
south,229,15.653,17.641,17.84960975609756,17.873,18.067,19.006
south,230,15.669,17.601,17.8447,17.839,18.073999999999998,19.05
south,231,15.699,17.646,17.903146341463415,17.989,18.136,19.124
south,232,15.793,17.628,17.907756097560977,17.908,18.14,19.15
south,233,15.874,17.719,17.985365853658536,18.018,18.236,19.171
south,234,15.932,17.738,17.98392682926829,17.908,18.244,19.166
south,235,16.063,17.805,18.04248780487805,18.067,18.268,19.073
south,236,16.068,17.819,18.050707317073172,17.983,18.336,19.077
south,237,16.227,17.931,18.13109756097561,18.085,18.405,19.088
south,238,16.238,17.936,18.14558536585366,18.125,18.427,19.091
south,239,16.243,17.932,18.18087804878049,18.159,18.487,19.19
south,240,16.31,17.934,18.197268292682928,18.172,18.488,19.218
south,241,16.391,17.945,18.25358536585366,18.221,18.581,19.234
south,242,16.459,17.985,18.241634146341465,18.209,18.504,19.205
south,243,16.545,18.041,18.28441463414634,18.336,18.6,19.183
south,244,16.639,18.006,18.285073170731707,18.376,18.579,19.22
south,245,16.749,17.999,18.327341463414633,18.439,18.618,19.252
south,246,16.87,17.965,18.34170731707317,18.419,18.645,19.3
south,247,16.929,18.052,18.377048780487804,18.456,18.629,19.346
south,248,16.982,18.024,18.37319512195122,18.488,18.619,19.389
south,249,16.988,18.116,18.412219512195122,18.47,18.676,19.326
south,250,16.938,18.099,18.416707317073172,18.499,18.702,19.341
south,251,16.933,18.133,18.455365853658538,18.436,18.732,19.496
south,252,16.94,18.17,18.465170731707317,18.52,18.728,19.541
south,253,16.918,18.217,18.49639024390244,18.416,18.809,19.6
south,254,16.95,18.2,18.506365853658536,18.49,18.833,19.683
south,255,16.957,18.292,18.527975609756098,18.453,18.889,19.784
south,256,16.962,18.265,18.52219512195122,18.526,18.848,19.814
south,257,16.902,18.25,18.52541463414634,18.5,18.797,19.89
south,258,16.836,18.233,18.541170731707318,18.518,18.842,19.966
south,259,16.801,18.205,18.530536585365855,18.492,18.821,20.094
south,260,16.808,18.239,18.56629268292683,18.578,18.868,20.178
south,261,16.85,18.235,18.54478048780488,18.52,18.858,20.168
south,262,16.783,18.201,18.581829268292683,18.581,18.924,20.201
south,263,16.745,18.222,18.55709756097561,18.545,18.885,20.14
south,264,16.698,18.233,18.58412195121951,18.554,18.928,20.087
south,265,16.677,18.222,18.55587804878049,18.523,18.919,20.019
south,266,16.588,18.245,18.57190243902439,18.589,18.922,19.989
south,267,16.573,18.226,18.55468292682927,18.525,18.884,19.978
south,268,16.579,18.29,18.581,18.608,18.983,20.053
south,269,16.663,18.227,18.56036585365854,18.57,18.888,20.062
south,270,16.682,18.23,18.569658536585365,18.611,18.947,19.979
south,271,16.775,18.22,18.541829268292684,18.483,18.889,19.881
south,272,16.785,18.315,18.558146341463413,18.581,18.908,19.803
south,273,16.755,18.234,18.522634146341463,18.554,18.891,19.67
south,274,16.816,18.229,18.537048780487805,18.558,18.912,19.602
south,275,16.746,18.17,18.517341463414635,18.522,18.881,19.635
south,276,16.696,18.16,18.51068292682927,18.503,18.845,19.513
south,277,16.671,18.13,18.470780487804877,18.45,18.789,19.555
south,278,16.576,18.117,18.467073170731705,18.45,18.819,19.625
south,279,16.593,18.097,18.435585365853658,18.439,18.726,19.543
south,280,16.568,18.073,18.41541463414634,18.405,18.713,19.441
south,281,16.535,18.117,18.377146341463416,18.329,18.669,19.418
south,282,16.387,18.073,18.35280487804878,18.383,18.646,19.384
south,283,16.331,18.045,18.30419512195122,18.225,18.57,19.325
south,284,16.245,18.072,18.30148780487805,18.299,18.628,19.251
south,285,16.171,18.013,18.260341463414633,18.264,18.562,19.259
south,286,16.113,18.018,18.24439024390244,18.219,18.54,19.275
south,287,16.101,17.961,18.204560975609756,18.182,18.506,19.283
south,288,16.118,18.028,18.203487804878048,18.146,18.525,19.246
south,289,16.111,17.949,18.136658536585365,18.107,18.486,19.148
south,290,16.142,17.944,18.119121951219512,18.113,18.469,19.132
south,291,16.08,17.77,18.03468292682927,18.021,18.376,19.069
south,292,15.956,17.807,17.997731707317072,18.027,18.386,18.93
south,293,15.888,17.735,17.93809756097561,17.968,18.307,18.769
south,294,15.88,17.657,17.897853658536587,17.904,18.299,18.705
south,295,15.947,17.615,17.849390243902437,17.855,18.192,18.65
south,296,15.943,17.561,17.80990243902439,17.825,18.174,18.652
south,297,15.911,17.473,17.751121951219513,17.721,18.073,18.64
south,298,15.907,17.483,17.705951219512194,17.685,18.017,18.562
south,299,15.911,17.345,17.639853658536584,17.603,18.038,18.539
south,300,15.878,17.301,17.600024390243902,17.612,18.036,18.45
south,301,15.754,17.199,17.514658536585365,17.52,17.957,18.394
south,302,15.776,17.131,17.469365853658537,17.481,17.888,18.339
south,303,15.648,17.07,17.401560975609755,17.401,17.79,18.326
south,304,15.483,17.005,17.30978048780488,17.31,17.726,18.273
south,305,15.432,16.971,17.25170731707317,17.286,17.632,18.263
south,306,15.36,16.865,17.162853658536584,17.188,17.561,18.151
south,307,15.305,16.783,17.089439024390245,17.119,17.445,18.044
south,308,15.26,16.728,17.003390243902437,17.018,17.387,17.99
south,309,15.323,16.678,16.934951219512197,16.991,17.233,17.929
south,310,15.33,16.578,16.84280487804878,16.939,17.241,17.859
south,311,15.352,16.518,16.764658536585365,16.793,17.132,17.807
south,312,15.257,16.41,16.664731707317074,16.708,17.036,17.705
south,313,15.211,16.295,16.568634146341463,16.591,16.958,17.601
south,314,15.169,16.153,16.45631707317073,16.522,16.89,17.499
south,315,14.984,16.039,16.35951219512195,16.402,16.748,17.348
south,316,14.74,16.018,16.25558536585366,16.328,16.69,17.224
south,317,14.558,15.925,16.138,16.239,16.542,17.098
south,318,14.383,15.827,16.03560975609756,16.167,16.469,16.996
south,319,14.19,15.724,15.91848780487805,15.985,16.329,16.986
south,320,14.041,15.571,15.775,15.916,16.207,16.752
south,321,13.873,15.434,15.643487804878049,15.705,16.088,16.658
south,322,13.705,15.239,15.513658536585366,15.614,15.968,16.641
south,323,13.561,15.111,15.360756097560975,15.382,15.856,16.504
south,324,13.352,14.881,15.212536585365854,15.339,15.669,16.497
south,325,13.144,14.756,15.066780487804879,15.113,15.517,16.337
south,326,13.085,14.532,14.915853658536586,15.037,15.354,16.242
south,327,12.986,14.427,14.752463414634146,14.854,15.172,16.119
south,328,12.882,14.335,14.590853658536586,14.718,15.015,15.952
south,329,12.777,14.047,14.437585365853659,14.506,14.868,15.786
south,330,12.593,13.988,14.274926829268292,14.342,14.714,15.597
south,331,12.399,13.604,14.098365853658537,14.163,14.579,15.407
south,332,12.158,13.569,13.922487804878049,14.029,14.332,15.349
south,333,11.9,13.337,13.727317073170731,13.87,14.152,15.164
south,334,11.587,13.29,13.556414634146341,13.664,14.045,14.879
south,335,11.285,12.984,13.377121951219513,13.472,13.863,14.741
south,336,11.043,12.84275,13.185325,13.261,13.64775,14.463
south,337,10.786,12.54375,12.97335,12.988,13.444749999999999,14.282
south,338,10.57,12.4585,12.798075,12.798,13.2025,14.147
south,339,10.325,12.066,12.5725,12.606,13.0465,14.075
south,340,10.156,11.887,12.381625,12.4605,12.8775,13.735
south,341,9.911,11.617,12.1649,12.2485,12.681249999999999,13.577
south,342,9.689,11.387500000000001,11.949075,12.035,12.50225,13.348
south,343,9.492,11.05875,11.7068,11.826,12.251249999999999,13.064
south,344,9.299,10.921,11.5116,11.656500000000001,12.02825,12.932
south,345,9.104,10.536750000000001,11.25515,11.435500000000001,11.815999999999999,12.803
south,346,8.853,10.495249999999999,11.052975,11.1655,11.568000000000001,12.629
south,347,8.589,10.07575,10.81135,10.91,11.4195,12.542
south,348,8.303,9.924,10.589550000000001,10.668,11.19625,12.343
south,349,8.18,9.463,10.326625,10.430499999999999,10.89,12.23
south,350,7.958,9.3845,10.113325,10.186,10.5945,12.101
south,351,7.856,9.094,9.825,9.856,10.31175,11.956
south,352,7.686,8.937000000000001,9.611625,9.6345,10.03975,11.824
south,353,7.429,8.59675,9.325575,9.378,9.90025,11.601
south,354,7.232,8.47725,9.13435,9.167,9.6195,11.418
